0.01,111
0.01,440
0.01,21
0.01,160
0.01,388
0.01,40
0.01,227
0.01,320
0.01,96
0.01,257
0.01,204
0.01,275
0.01,81
0.01,521
0.01,350
0.01,144
0.01,12
0.01,270
0.01,173
0.01,87
0.01,50
0.01,88
0.01,66
0.01,114
0.01,3
0.01,262
0.01,719
0.01,72
0.01,107
0.01,447
0.01,231
0.01,408
0.01,43
0.01,84
0.01,14
0.01,97
0.01,2
0.01,266
0.01,70
0.01,46
0.01,69
0.01,145
0.01,177
0.01,6
0.01,23
0.01,13
0.01,178
0.01,121
0.01,63
0.01,112
0.01,173
0.01,10
0.01,354
0.01,73
0.01,1
0.01,156
0.01,138
0.01,215
0.01,152
0.01,26
0.01,213
0.01,33
0.01,164
0.01,20
0.01,105
0.01,296
0.01,167
0.01,292
0.01,337
0.01,188
0.01,195
0.01,268
0.01,523
0.01,81
0.01,38
0.01,361
0.01,31
0.01,173
0.01,66
0.01,119
0.01,182
0.01,35
0.01,296
0.01,61
0.01,38
0.01,317
0.01,14
0.01,38
0.01,166
0.01,352
0.01,12
0.01,122
0.01,9
0.01,90
0.01,335
0.01,157
0.01,73
0.01,42
0.01,78
0.01,152
0.01,48
0.01,429
0.01,224
0.01,40
0.01,53
0.01,117
0.01,34
0.01,1
0.01,164
0.01,63
0.01,68
0.01,100
0.01,386
0.01,92
0.01,225
0.01,19
0.01,259
0.01,150
0.01,43
0.01,169
0.01,94
0.01,43
0.01,163
0.01,23
0.01,41
0.01,217
0.01,337
0.01,169
0.01,48
0.01,119
0.01,162
0.01,125
0.01,39
0.01,294
0.01,70
0.01,133
0.01,90
0.01,174
0.01,269
0.01,25
0.01,32
0.01,46
0.01,137
0.01,115
0.01,114
0.01,294
0.01,250
0.01,75
0.01,2
0.01,6
0.01,240
0.01,264
0.01,22
0.01,97
0.01,538
0.01,87
0.01,87
0.01,71
0.01,18
0.01,245
0.01,287
0.01,238
0.01,257
0.01,249
0.01,35
0.01,45
0.01,149
0.01,194
0.01,604
0.01,73
0.01,196
0.01,27
0.01,164
0.01,165
0.01,96
0.01,161
0.01,163
0.01,353
0.01,120
0.01,105
0.01,46
0.01,106
0.01,436
0.01,44
0.01,202
0.01,181
0.01,126
0.01,63
0.01,190
0.01,185
0.01,342
0.01,17
0.01,48
0.01,124
0.01,129
0.01,10
0.01,40
0.01,278
0.01,272
0.01,34
0.01,18
0.01,125
0.01,299
0.01,108
0.01,62
0.01,5
0.01,365
0.01,418
0.01,109
0.01,48
0.01,211
0.01,2
0.01,364
0.01,89
0.01,235
0.01,310
0.01,535
0.01,379
0.01,68
0.01,279
0.01,85
0.01,5
0.01,187
0.01,146
0.01,338
0.01,155
0.01,17
0.01,57
0.01,227
0.01,111
0.01,559
0.01,40
0.01,176
0.01,67
0.01,60
0.01,95
0.01,320
0.01,106
0.01,599
0.01,136
0.01,362
0.01,190
0.01,508
0.01,68
0.01,150
0.01,40
0.01,413
0.01,69
0.01,92
0.01,287
0.01,298
0.01,158
0.01,448
0.01,187
0.01,132
0.01,266
0.01,97
0.01,18
0.01,47
0.01,50
0.01,31
0.01,122
0.01,57
0.01,261
0.01,124
0.01,36
0.01,211
0.01,182
0.01,554
0.01,11
0.01,49
0.01,161
0.01,14
0.01,26
0.01,95
0.01,238
0.01,130
0.01,47
0.01,32
0.01,256
0.01,66
0.01,380
0.01,55
0.01,471
0.01,292
0.01,179
0.01,110
0.01,15
0.01,482
0.01,33
0.01,176
0.01,440
0.01,220
0.01,283
0.01,154
0.01,280
0.01,73
0.01,150
0.01,36
0.01,211
0.01,99
0.01,41
0.01,35
0.01,123
0.01,229
0.01,311
0.01,536
0.01,175
0.01,7
0.01,156
0.01,471
0.01,55
0.01,607
0.01,78
0.01,411
0.01,33
0.01,574
0.01,112
0.01,60
0.01,409
0.01,254
0.01,68
0.01,95
0.01,313
0.01,178
0.01,191
0.01,101
0.01,183
0.01,77
0.01,128
0.01,58
0.01,61
0.01,48
0.01,170
0.01,132
0.01,305
0.01,155
0.01,15
0.01,137
0.01,72
0.01,146
0.01,187
0.01,17
0.01,237
0.01,65
0.01,136
0.01,96
0.01,212
0.01,301
0.01,614
0.01,193
0.01,2
0.01,172
0.01,7
0.01,90
0.01,61
0.01,9
0.01,328
0.01,169
0.01,24
0.01,300
0.01,118
0.01,20
0.01,159
0.01,185
0.01,183
0.01,141
0.01,428
0.01,325
0.01,157
0.01,39
0.01,438
0.01,199
0.01,205
0.01,280
0.01,44
0.01,135
0.01,60
0.01,441
0.01,35
0.01,467
0.01,336
0.01,326
0.01,324
0.01,127
0.01,242
0.01,1
0.01,442
0.01,105
0.01,141
0.01,121
0.01,95
0.01,273
0.01,48
0.01,170
0.01,156
0.01,32
0.01,67
0.01,44
0.01,103
0.01,173
0.01,151
0.01,199
0.01,110
0.01,119
0.01,280
0.01,30
0.01,100
0.01,148
0.01,13
0.01,169
0.01,50
0.01,19
0.01,47
0.01,154
0.01,155
0.01,88
0.01,25
0.01,10
0.01,38
0.01,248
0.01,287
0.01,159
0.01,49
0.01,74
0.01,9
0.01,278
0.01,221
0.01,611
0.01,77
0.01,73
0.01,102
0.01,171
0.01,147
0.01,39
0.01,89
0.01,66
0.01,168
0.01,452
0.01,174
0.01,4
0.01,59
0.01,347
0.01,162
0.01,50
0.01,436
0.01,209
0.01,179
0.01,76
0.01,27
0.01,243
0.01,182
0.01,106
0.01,36
0.01,95
0.01,214
0.01,263
0.01,85
0.01,103
0.01,40
0.01,73
0.01,252
0.01,63
0.01,117
0.01,262
0.01,238
0.01,154
0.01,303
0.01,527
0.01,104
0.01,10
0.01,116
0.01,243
0.01,87
0.01,410
0.01,488
0.01,320
0.01,140
0.01,162
0.01,163
0.01,182
0.01,255
0.01,197
0.01,83
0.01,55
0.01,28
0.01,96
0.01,71
0.01,124
0.01,11
0.01,192
0.01,156
0.01,3
0.01,7
0.01,467
0.01,165
0.01,132
0.01,8
0.01,152
0.01,11
0.01,12
0.01,54
0.01,229
0.01,12
0.01,64
0.01,66
0.01,335
0.01,258
0.01,57
0.01,69
0.01,280
0.01,199
0.01,30
0.01,287
0.01,90
0.01,325
0.01,103
0.01,132
0.01,9
0.01,649
0.01,537
0.01,332
0.01,263
0.01,341
0.01,467
0.01,71
0.01,16
0.01,317
0.01,274
0.01,38
0.01,8
0.01,42
0.01,372
0.01,254
0.01,90
0.01,73
0.01,15
0.01,68
0.01,31
0.01,132
0.01,32
0.01,330
0.01,16
0.01,56
0.01,239
0.01,621
0.01,18
0.01,74
0.01,250
0.01,101
0.01,709
0.01,205
0.01,93
0.01,546
0.01,10
0.01,174
0.01,72
0.01,161
0.01,86
0.01,79
0.01,21
0.01,150
0.01,303
0.01,236
0.01,105
0.01,17
0.01,252
0.01,35
0.01,220
0.01,265
0.01,165
0.01,600
0.01,245
0.01,73
0.01,70
0.01,2
0.01,38
0.01,282
0.01,85
0.01,124
0.01,44
0.01,14
0.01,36
0.01,6
0.01,7
0.01,54
0.01,5
0.01,62
0.01,267
0.01,44
0.01,121
0.01,302
0.01,239
0.01,6
0.01,454
0.01,125
0.01,73
0.01,44
0.01,167
0.01,236
0.01,573
0.01,89
0.01,328
0.01,58
0.01,118
0.01,89
0.01,269
0.01,137
0.01,195
0.01,31
0.01,189
0.01,12
0.01,24
0.01,245
0.01,59
0.01,14
0.01,101
0.01,157
0.01,24
0.01,259
0.01,4
0.01,332
0.01,306
0.01,47
0.01,402
0.01,85
0.01,58
0.01,344
0.01,43
0.01,131
0.01,602
0.01,218
0.01,33
0.01,95
0.01,182
0.01,181
0.01,56
0.01,94
0.01,49
0.01,6
0.01,29
0.01,27
0.01,231
0.01,380
0.01,82
0.01,34
0.01,80
0.01,85
0.01,204
0.01,36
0.01,32
0.01,259
0.01,11
0.01,150
0.01,66
0.01,252
0.01,433
