0.06,9
0.06,41
0.06,17
0.06,7
0.06,4
0.06,2
0.06,3
0.06,6
0.06,6
0.06,13
0.06,9
0.06,10
0.06,6
0.06,24
0.06,1
0.06,5
0.06,11
0.06,2
0.06,6
0.06,29
0.06,2
0.06,9
0.06,22
0.06,14
0.06,2
0.06,13
0.06,18
0.06,1
0.06,7
0.06,24
0.06,32
0.06,17
0.06,10
0.06,11
0.06,1
0.06,21
0.06,1
0.06,49
0.06,11
0.06,7
0.06,14
0.06,6
0.06,7
0.06,10
0.06,10
0.06,3
0.06,7
0.06,18
0.06,8
0.06,20
0.06,6
0.06,3
0.06,7
0.06,4
0.06,11
0.06,11
0.06,6
0.06,9
0.06,1
0.06,4
0.06,16
0.06,11
0.06,6
0.06,1
0.06,1
0.06,6
0.06,3
0.06,7
0.06,12
0.06,5
0.06,4
0.06,1
0.06,7
0.06,15
0.06,17
0.06,4
0.06,11
0.06,6
0.06,1
0.06,5
0.06,1
0.06,4
0.06,7
0.06,7
0.06,18
0.06,1
0.06,24
0.06,3
0.06,7
0.06,14
0.06,11
0.06,25
0.06,7
0.06,4
0.06,3
0.06,11
0.06,10
0.06,18
0.06,6
0.06,1
0.06,7
0.06,3
0.06,15
0.06,20
0.06,2
0.06,5
0.06,5
0.06,6
0.06,7
0.06,11
0.06,2
0.06,16
0.06,3
0.06,1
0.06,16
0.06,10
0.06,14
0.06,8
0.06,5
0.06,6
0.06,2
0.06,8
0.06,2
0.06,10
0.06,10
0.06,6
0.06,1
0.06,2
0.06,11
0.06,2
0.06,25
0.06,2
0.06,6
0.06,6
0.06,2
0.06,3
0.06,5
0.06,7
0.06,21
0.06,3
0.06,22
0.06,2
0.06,7
0.06,3
0.06,23
0.06,8
0.06,5
0.06,26
0.06,18
0.06,2
0.06,5
0.06,12
0.06,4
0.06,1
0.06,7
0.06,10
0.06,8
0.06,2
0.06,1
0.06,4
0.06,3
0.06,11
0.06,5
0.06,1
0.06,17
0.06,15
0.06,3
0.06,1
0.06,4
0.06,18
0.06,1
0.06,14
0.06,36
0.06,1
0.06,3
0.06,14
0.06,26
0.06,5
0.06,19
0.06,4
0.06,2
0.06,27
0.06,8
0.06,15
0.06,3
0.06,9
0.06,20
0.06,9
0.06,3
0.06,5
0.06,3
0.06,3
0.06,14
0.06,27
0.06,1
0.06,6
0.06,1
0.06,1
0.06,9
0.06,14
0.06,47
0.06,6
0.06,4
0.06,2
0.06,1
0.06,25
0.06,16
0.06,3
0.06,10
0.06,6
0.06,6
0.06,1
0.06,8
0.06,29
0.06,4
0.06,2
0.06,9
0.06,18
0.06,4
0.06,7
0.06,1
0.06,4
0.06,4
0.06,1
0.06,2
0.06,19
0.06,3
0.06,7
0.06,4
0.06,5
0.06,37
0.06,9
0.06,33
0.06,9
0.06,12
0.06,16
0.06,4
0.06,5
0.06,17
0.06,6
0.06,3
0.06,3
0.06,37
0.06,7
0.06,25
0.06,15
0.06,21
0.06,14
0.06,3
0.06,11
0.06,25
0.06,7
0.06,20
0.06,87
0.06,18
0.06,4
0.06,9
0.06,23
0.06,7
0.06,3
0.06,9
0.06,5
0.06,5
0.06,4
0.06,9
0.06,4
0.06,26
0.06,3
0.06,1
0.06,9
0.06,18
0.06,14
0.06,7
0.06,14
0.06,21
0.06,7
0.06,6
0.06,10
0.06,9
0.06,60
0.06,8
0.06,4
0.06,8
0.06,15
0.06,9
0.06,7
0.06,16
0.06,6
0.06,10
0.06,5
0.06,4
0.06,10
0.06,1
0.06,9
0.06,5
0.06,7
0.06,2
0.06,13
0.06,30
0.06,2
0.06,6
0.06,3
0.06,5
0.06,15
0.06,70
0.06,1
0.06,37
0.06,11
0.06,2
0.06,1
0.06,11
0.06,12
0.06,18
0.06,13
0.06,21
0.06,31
0.06,5
0.06,12
0.06,8
0.06,2
0.06,23
0.06,40
0.06,7
0.06,4
0.06,1
0.06,13
0.06,14
0.06,5
0.06,9
0.06,35
0.06,4
0.06,13
0.06,1
0.06,4
0.06,11
0.06,4
0.06,6
0.06,20
0.06,15
0.06,18
0.06,19
0.06,1
0.06,9
0.06,12
0.06,43
0.06,9
0.06,2
0.06,9
0.06,13
0.06,7
0.06,1
0.06,41
0.06,39
0.06,18
0.06,3
0.06,11
0.06,5
0.06,27
0.06,1
0.06,6
0.06,8
0.06,8
0.06,4
0.06,7
0.06,16
0.06,1
0.06,3
0.06,12
0.06,13
0.06,22
0.06,8
0.06,5
0.06,3
0.06,49
0.06,6
0.06,8
0.06,7
0.06,9
0.06,19
0.06,3
0.06,9
0.06,3
0.06,6
0.06,4
0.06,14
0.06,6
0.06,18
0.06,10
0.06,7
0.06,2
0.06,22
0.06,2
0.06,24
0.06,7
0.06,4
0.06,2
0.06,1
0.06,8
0.06,12
0.06,2
0.06,10
0.06,13
0.06,5
0.06,2
0.06,1
0.06,3
0.06,5
0.06,2
0.06,10
0.06,19
0.06,2
0.06,33
0.06,18
0.06,24
0.06,8
0.06,5
0.06,19
0.06,10
0.06,2
0.06,14
0.06,11
0.06,3
0.06,23
0.06,1
0.06,10
0.06,2
0.06,7
0.06,3
0.06,3
0.06,1
0.06,8
0.06,2
0.06,7
0.06,7
0.06,9
0.06,2
0.06,13
0.06,4
0.06,3
0.06,12
0.06,1
0.06,1
0.06,3
0.06,3
0.06,9
0.06,15
0.06,2
0.06,1
0.06,3
0.06,7
0.06,35
0.06,15
0.06,5
0.06,6
0.06,1
0.06,9
0.06,1
0.06,12
0.06,12
0.06,1
0.06,5
0.06,10
0.06,2
0.06,8
0.06,11
0.06,1
0.06,3
0.06,13
0.06,6
0.06,5
0.06,25
0.06,21
0.06,5
0.06,11
0.06,10
0.06,20
0.06,11
0.06,9
0.06,20
0.06,2
0.06,4
0.06,13
0.06,10
0.06,32
0.06,2
0.06,5
0.06,19
0.06,7
0.06,1
0.06,1
0.06,3
0.06,23
0.06,28
0.06,6
0.06,15
0.06,1
0.06,4
0.06,4
0.06,5
0.06,8
0.06,10
0.06,9
0.06,1
0.06,29
0.06,3
0.06,4
0.06,1
0.06,6
0.06,5
0.06,7
0.06,29
0.06,3
0.06,5
0.06,10
0.06,4
0.06,18
0.06,7
0.06,9
0.06,3
0.06,31
0.06,8
0.06,6
0.06,10
0.06,26
0.06,16
0.06,22
0.06,1
0.06,2
0.06,4
0.06,11
0.06,15
0.06,4
0.06,7
0.06,18
0.06,4
0.06,6
0.06,8
0.06,9
0.06,10
0.06,10
0.06,5
0.06,2
0.06,4
0.06,11
0.06,9
0.06,2
0.06,14
0.06,1
0.06,3
0.06,4
0.06,21
0.06,4
0.06,2
0.06,3
0.06,35
0.06,14
0.06,6
0.06,2
0.06,2
0.06,4
0.06,6
0.06,6
0.06,7
0.06,9
0.06,1
0.06,15
0.06,13
0.06,7
0.06,11
0.06,16
0.06,3
0.06,3
0.06,1
0.06,15
0.06,7
0.06,6
0.06,5
0.06,1
0.06,6
0.06,3
0.06,7
0.06,12
0.06,50
0.06,12
0.06,1
0.06,3
0.06,17
0.06,6
0.06,8
0.06,3
0.06,5
0.06,9
0.06,1
0.06,19
0.06,51
0.06,33
0.06,4
0.06,9
0.06,2
0.06,7
0.06,11
0.06,3
0.06,36
0.06,3
0.06,4
0.06,13
0.06,5
0.06,27
0.06,7
0.06,4
0.06,17
0.06,27
0.06,1
0.06,5
0.06,1
0.06,2
0.06,4
0.06,8
0.06,11
0.06,2
0.06,1
0.06,10
0.06,10
0.06,2
0.06,6
0.06,4
0.06,5
0.06,15
0.06,9
0.06,8
0.06,9
0.06,9
0.06,12
0.06,3
0.06,6
0.06,9
0.06,11
0.06,6
0.06,6
0.06,2
0.06,14
0.06,8
0.06,20
0.06,2
