0.01,3
0.01,287
0.01,15
0.01,2
0.01,185
0.01,5
0.01,2
0.01,151
0.01,136
0.01,19
0.01,12
0.01,2
0.01,14
0.01,10
0.01,59
0.01,81
0.01,35
0.01,94
0.01,6
0.01,2
0.01,35
0.01,18
0.01,155
0.01,3
0.01,134
0.01,3
0.01,34
0.01,10
0.01,28
0.01,215
0.01,107
0.01,130
0.01,44
0.01,6
0.01,85
0.01,6
0.01,14
0.01,154
0.01,12
0.01,410
0.01,3
0.01,4
0.01,1
0.01,4
0.01,12
0.01,31
0.01,2
0.01,3
0.01,6
0.01,59
0.01,1
0.01,1
0.01,50
0.01,11
0.01,226
0.01,96
0.01,6
0.01,6
0.01,34
0.01,115
0.01,111
0.01,127
0.01,2
0.01,18
0.01,1
0.01,2
0.01,1
0.01,8
0.01,67
0.01,46
0.01,23
0.01,69
0.01,93
0.01,162
0.01,2
0.01,28
0.01,16
0.01,2
0.01,404
0.01,130
0.01,51
0.01,4
0.01,2
0.01,7
0.01,5
0.01,8
0.01,15
0.01,2
0.01,18
0.01,77
0.01,5
0.01,1
0.01,26
0.01,512
0.01,20
0.01,6
0.01,4
0.01,178
0.01,3
0.01,8
0.01,19
0.01,7
0.01,2
0.01,11
0.01,2
0.01,9
0.01,263
0.01,5
0.01,28
0.01,111
0.01,2
0.01,1
0.01,10
0.01,51
0.01,69
0.01,1
0.01,41
0.01,10
0.01,1
0.01,16
0.01,24
0.01,23
0.01,62
0.01,120
0.01,19
0.01,1
0.01,50
0.01,83
0.01,40
0.01,1
0.01,15
0.01,42
0.01,34
0.01,5
0.01,26
0.01,4
0.01,10
0.01,207
0.01,26
0.01,3
0.01,18
0.01,1
0.01,11
0.01,2
0.01,2
0.01,449
0.01,21
0.01,21
0.01,223
0.01,178
0.01,9
0.01,102
0.01,20
0.01,54
0.01,15
0.01,1
0.01,6
0.01,2
0.01,97
0.01,11
0.01,1
0.01,16
0.01,107
0.01,15
0.01,2
0.01,15
0.01,63
0.01,219
0.01,2
0.01,140
0.01,1
0.01,376
0.01,19
0.01,3
0.01,63
0.01,204
0.01,1
0.01,3
0.01,1
0.01,588
0.01,77
0.01,1
0.01,30
0.01,405
0.01,58
0.01,234
0.01,1
0.01,1
0.01,4
0.01,138
0.01,9
0.01,2
0.01,2
0.01,1
0.01,2
0.01,1
0.01,52
0.01,1
0.01,87
0.01,336
0.01,1
0.01,1
0.01,29
0.01,35
0.01,1
0.01,25
0.01,1
0.01,2
0.01,1
0.01,61
0.01,6
0.01,1
0.01,10
0.01,28
0.01,2
0.01,9
0.01,7
0.01,207
0.01,201
0.01,49
0.01,27
0.01,378
0.01,2
0.01,3
0.01,159
0.01,42
0.01,1
0.01,94
0.01,5
0.01,1
0.01,114
0.01,19
0.01,15
0.01,2
0.01,7
0.01,16
0.01,51
0.01,4
0.01,30
0.01,10
0.01,2
0.01,1
0.01,10
0.01,41
0.01,73
0.01,87
0.01,11
0.01,88
0.01,1
0.01,56
0.01,8
0.01,1
0.01,3
0.01,25
0.01,1
0.01,1
0.01,1
0.01,52
0.01,2
0.01,133
0.01,111
0.01,373
0.01,223
0.01,86
0.01,1
0.01,15
0.01,112
0.01,7
0.01,63
0.01,99
0.01,209
0.01,80
0.01,48
0.01,1
0.01,3
0.01,161
0.01,118
0.01,8
0.01,105
0.01,2
0.01,1
0.01,3
0.01,1
0.01,86
0.01,146
0.01,14
0.01,1
0.01,2
0.01,16
0.01,14
0.01,1
0.01,312
0.01,2
0.01,8
0.01,1
0.01,1
0.01,10
0.01,197
0.01,43
0.01,12
0.01,21
0.01,3
0.01,6
0.01,29
0.01,10
0.01,8
0.01,24
0.01,239
0.01,119
0.01,169
0.01,1
0.01,109
0.01,1
0.01,35
0.01,9
0.01,4
0.01,294
0.01,29
0.01,1
0.01,31
0.01,5
0.01,9
0.01,1
0.01,2
0.01,1
0.01,45
0.01,18
0.01,1
0.01,3
0.01,26
0.01,70
0.01,18
0.01,29
0.01,13
0.01,60
0.01,56
0.01,1
0.01,12
0.01,4
0.01,84
0.01,1
0.01,11
0.01,48
0.01,1
0.01,71
0.01,4
0.01,1
0.01,3
0.01,115
0.01,9
0.01,3
0.01,169
0.01,16
0.01,1
0.01,5
0.01,15
0.01,43
0.01,16
0.01,2
0.01,28
0.01,33
0.01,76
0.01,23
0.01,5
0.01,66
0.01,1
0.01,3
0.01,9
0.01,99
0.01,13
0.01,48
0.01,29
0.01,308
0.01,225
0.01,26
0.01,16
0.01,1
0.01,72
0.01,1
0.01,219
0.01,8
0.01,11
0.01,112
0.01,65
0.01,9
0.01,45
0.01,3
0.01,1
0.01,19
0.01,4
0.01,40
0.01,27
0.01,21
0.01,169
0.01,6
0.01,214
0.01,2
0.01,8
0.01,2
0.01,6
0.01,24
0.01,80
0.01,2
0.01,127
0.01,351
0.01,65
0.01,110
0.01,3
0.01,3
0.01,2
0.01,1
0.01,13
0.01,154
0.01,101
0.01,4
0.01,5
0.01,22
0.01,4
0.01,361
0.01,1
0.01,8
0.01,51
0.01,13
0.01,16
0.01,209
0.01,88
0.01,93
0.01,2
0.01,1
0.01,202
0.01,16
0.01,2
0.01,3
0.01,5
0.01,6
0.01,41
0.01,555
0.01,1
0.01,41
0.01,3
0.01,165
0.01,1
0.01,397
0.01,137
0.01,1
0.01,24
0.01,77
0.01,20
0.01,41
0.01,93
0.01,13
0.01,149
0.01,24
0.01,184
0.01,2
0.01,2
0.01,125
0.01,1
0.01,92
0.01,3
0.01,1
0.01,120
0.01,62
0.01,9
0.01,165
0.01,4
0.01,38
0.01,288
0.01,9
0.01,6
0.01,208
0.01,164
0.01,544
0.01,68
0.01,26
0.01,39
0.01,1
0.01,259
0.01,48
0.01,10
0.01,2
0.01,3
0.01,478
0.01,4
0.01,9
0.01,9
0.01,23
0.01,3
0.01,96
0.01,1
0.01,66
0.01,81
0.01,214
0.01,3
0.01,1
0.01,40
0.01,1
0.01,6
0.01,2
0.01,73
0.01,5
0.01,3
0.01,192
0.01,1
0.01,15
0.01,1
0.01,2
0.01,160
0.01,11
0.01,21
0.01,66
0.01,15
0.01,2
0.01,124
0.01,349
0.01,25
0.01,9
0.01,36
0.01,1
0.01,1
0.01,81
0.01,38
0.01,3
0.01,1
0.01,91
0.01,5
0.01,3
0.01,58
0.01,332
0.01,23
0.01,96
0.01,114
0.01,5
0.01,3
0.01,2
0.01,1
0.01,3
0.01,41
0.01,2
0.01,4
0.01,105
0.01,1
0.01,144
0.01,36
0.01,5
0.01,167
0.01,23
0.01,273
0.01,1
0.01,2
0.01,25
0.01,3
0.01,61
0.01,2
0.01,26
0.01,8
0.01,2
0.01,30
0.01,16
0.01,2
0.01,11
0.01,15
0.01,127
0.01,58
0.01,65
0.01,17
0.01,2
0.01,7
0.01,1
0.01,1
0.01,33
0.01,23
0.01,3
0.01,8
0.01,88
0.01,2
0.01,57
0.01,60
0.01,5
0.01,2
0.01,57
0.01,1
0.01,34
0.01,1
0.01,90
0.01,13
0.01,386
0.01,12
0.01,3
0.01,11
0.01,2
0.01,8
0.01,29
0.01,152
0.01,11
0.01,4
0.01,1
0.01,1
0.01,96
0.01,25
0.01,7
0.01,168
0.01,6
0.01,7
0.01,4
0.01,1
0.01,1
0.01,247
0.01,2
0.01,9
0.01,3
0.01,36
0.01,2
0.01,3
0.01,65
0.01,3
0.01,9
0.01,111
0.01,488
0.01,1
0.01,1
0.01,278
0.01,1
0.01,3
0.01,3
0.01,23
0.01,3
0.01,62
0.01,19
0.01,302
0.01,34
0.01,2
0.01,65
0.01,86
0.01,276
0.01,2
0.01,4
0.01,19
0.01,48
0.01,8
0.01,79
0.01,10
0.01,22
0.01,29
0.01,66
0.01,1
0.01,7
0.01,244
0.01,6
0.01,3
0.01,1
0.01,2
0.01,7
0.01,174
0.01,1
0.01,118
0.01,230
0.01,1
0.01,6
0.01,5
0.01,7
0.01,6
0.01,3
0.01,14
0.01,1
0.01,245
0.01,1
0.01,2
0.01,20
0.01,61
0.01,2
0.01,83
0.01,180
0.01,10
0.01,39
0.01,11
0.01,230
0.01,3
0.01,16
0.01,1
0.01,6
0.01,2
0.01,102
0.01,118
0.01,16
0.01,118
0.01,103
0.01,61
0.01,5
0.01,7
0.01,68
0.01,22
0.01,1
0.01,78
0.01,2
0.01,3
0.01,6
0.01,20
0.01,3
0.01,57
0.01,1
0.01,34
0.01,1
0.01,19
0.01,166
0.01,5
0.01,187
0.01,66
0.01,2
0.01,15
0.01,46
0.01,4
0.01,167
0.01,7
0.01,52
0.01,2
0.01,1
0.01,1
0.01,130
0.01,68
0.01,55
0.01,72
0.01,46
0.01,9
0.01,5
0.01,1
0.01,9
0.01,2
0.01,1
0.01,2
0.01,127
0.01,11
0.01,238
0.01,1
0.01,29
0.01,12
0.01,28
0.01,26
0.01,3
0.01,2
0.01,5
0.01,10
0.01,1
0.01,7
0.01,80
0.01,23
0.01,32
0.01,3
0.01,1
0.01,5
0.01,1
0.01,8
0.01,2
0.01,67
0.01,35
0.01,2
0.01,3
0.01,26
0.01,169
0.01,2
0.01,171
0.01,13
0.01,1
0.01,6
0.01,1
0.01,7
0.01,87
0.01,68
0.01,1
0.01,5
0.01,123
0.01,10
0.01,1
0.01,16
0.01,6
0.01,85
0.01,170
0.01,317
0.01,97
0.01,1
0.01,87
0.01,2
0.01,175
0.01,234
0.01,8
0.01,22
0.01,20
0.01,57
0.01,50
0.01,1
0.01,39
0.01,1
0.01,53
0.01,4
0.01,9
0.01,355
0.01,38
0.01,7
0.01,2
0.01,1
0.01,83
0.01,122
0.01,141
0.01,1
0.01,14
0.01,1
0.01,1
0.01,1
0.01,2
0.01,1
0.01,12
0.01,1
0.01,79
0.01,17
0.01,3
0.01,55
0.01,3
0.01,14
0.01,1
0.01,215
0.01,3
0.01,7
0.01,45
0.01,1
0.01,14
0.01,2
0.01,177
0.01,32
0.01,4
0.01,52
0.01,318
0.01,499
0.01,28
0.01,2
0.01,8
0.01,4
0.01,6
0.01,120
0.01,11
0.01,18
0.01,151
0.01,42
0.01,91
0.01,1
0.01,17
0.01,27
0.01,2
0.01,96
0.01,28
0.01,22
0.01,2
0.01,248
0.01,1
0.01,5
0.01,313
0.01,3
0.01,1
0.01,15
0.01,201
0.01,78
0.01,1
0.01,41
0.01,63
0.01,15
0.01,1
0.01,78
0.01,97
0.01,1
0.01,100
0.01,84
0.01,1
0.01,79
0.01,16
0.01,269
0.01,1
0.01,104
0.01,11
0.01,22
0.01,31
0.01,2
0.01,1
0.01,2
0.01,14
0.01,1
0.01,16
0.01,1
0.01,6
0.01,329
0.01,67
0.01,23
0.01,12
0.01,2
0.01,1
0.01,160
0.01,68
0.01,47
0.01,8
0.01,60
0.01,8
0.01,51
0.01,9
0.01,10
0.01,53
0.01,137
0.01,9
0.01,67
0.01,9
0.01,9
0.01,78
0.01,4
0.01,4
0.01,6
0.01,27
0.01,1
0.01,98
0.01,1
0.01,3
0.01,50
0.01,3
